Date,ADA-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,HBAR-USD,HYPE-USD,LEO-USD,LINK-USD,LTC-USD,SHIB-USD,SOL-USD,SUI-USD,TRX-USD,USDC-USD,USDT-USD,XLM-USD,XRP-USD
2024-02-08,0.5292689800262451,35.427764892578125,244.4889373779297,318.87188720703125,45301.56640625,0.07987099885940552,2419.906494140625,0.0760129988193512,2.499999936844688e-05,4.0747480392456055,18.231304168701172,70.5627670288086,9.000000318337698e-06,102.78563690185547,6.0999998822808266e-05,0.12192399799823761,1.000048041343689,1.000195026397705,0.10986900329589844,0.5145289897918701
2024-02-09,0.5407919883728027,38.01095962524414,250.30352783203125,323.84228515625,47147.19921875,0.08157899975776672,2487.515625,0.0794610008597374,2.700000004551839e-05,4.0790300369262695,18.46788215637207,70.67704772949219,9.000000318337698e-06,106.93333435058594,6.0999998822808266e-05,0.12377600371837616,0.9999250173568726,1.0004899501800537,0.11203400045633316,0.5260310173034668
2024-02-10,0.5514119863510132,40.2883186340332,247.73220825195312,323.1338806152344,47771.27734375,0.08144800364971161,2501.228271484375,0.0789399966597557,2.5999999706982635e-05,4.145177841186523,19.091100692749023,70.80987548828125,9.000000318337698e-06,109.1314697265625,6.0999998822808266e-05,0.1244100034236908,1.0000139474868774,1.0003180503845215,0.11163599789142609,0.5241119861602783
2024-02-11,0.5414100289344788,39.732269287109375,276.5019226074219,320.78753662109375,48293.91796875,0.0811930000782013,2507.570556640625,0.07829199731349945,2.700000004551839e-05,4.110307216644287,20.12895965576172,71.54000091552734,9.000000318337698e-06,107.49528503417969,8.199999865610152e-05,0.1242780014872551,0.9999420046806335,1.0002789497375488,0.11115200072526932,0.5260840058326721
2024-02-12,0.560030996799469,41.08818817138672,280.8579406738281,327.9446105957031,49958.22265625,0.08234500139951706,2658.115966796875,0.0797479972243309,2.700000004551839e-05,4.150815010070801,20.491962432861328,72.93286895751953,9.999999747378752e-06,111.99275207519531,8.199999865610152e-05,0.12505799531936646,0.9999729990959167,1.0002789497375488,0.11322599649429321,0.5318970084190369
2024-02-13,0.5449960231781006,39.765350341796875,270.8520812988281,324.86822509765625,49742.44140625,0.08108899742364883,2642.185302734375,0.08151400089263916,2.499999936844688e-05,4.14982795715332,19.88628387451172,69.00106048583984,9.000000318337698e-06,112.57930755615234,8.199999865610152e-05,0.1269419938325882,1.0000959634780884,1.0005919933319092,0.1110529974102974,0.5248349905014038
2024-02-14,0.5773019790649414,42.26839065551758,281.26165771484375,334.2459716796875,51826.6953125,0.08554299920797348,2777.90234375,0.08250600099563599,2.300000051036477e-05,4.151826858520508,20.277942657470703,69.89627838134766,9.999999747378752e-06,116.97632598876953,8.199999865610152e-05,0.12968400120735168,1.0000319480895996,1.000931978225708,0.11441600322723389,0.5384010076522827
2024-02-15,0.6083629727363586,41.596004486083984,270.6659240722656,354.7108154296875,51938.5546875,0.08535599708557129,2824.37890625,0.08286699652671814,2.300000051036477e-05,4.176232814788818,19.94938087463379,69.81148529052734,9.999999747378752e-06,113.69940948486328,0.00013099999341648072,0.13116900622844696,0.9999639987945557,1.0009440183639526,0.11674699932336807,0.5627549886703491
2024-02-16,0.5988720059394836,40.312129974365234,274.8199768066406,360.890380859375,52160.203125,0.08601299673318863,2803.69140625,0.0856499969959259,2.2000000171829015e-05,4.093221187591553,19.57235336303711,70.6171646118164,9.999999747378752e-06,110.44591522216797,5.500000042957254e-05,0.13292300701141357,1.0000089406967163,1.0006519556045532,0.11552800238132477,0.5649600028991699
2024-02-17,0.6083459854125977,39.762489318847656,267.4199523925781,352.9081115722656,51662.99609375,0.08359300345182419,2786.672607421875,0.08349700272083282,2.2000000171829015e-05,4.142324924468994,20.03460693359375,69.9896240234375,9.999999747378752e-06,108.98401641845703,3.199999991920777e-05,0.13589100539684296,1.0000649690628052,1.000359058380127,0.11419499665498734,0.5498859882354736
2024-02-18,0.6187340021133423,40.254661560058594,270.41644287109375,349.6799621582031,52122.546875,0.08516599982976913,2878.998046875,0.08974699676036835,2.5999999706982635e-05,4.134267807006836,20.096508026123047,70.7302474975586,9.999999747378752e-06,112.17467498779297,3.300000025774352e-05,0.13518600165843964,1.0000519752502441,1.000236988067627,0.1158669963479042,0.5569030046463013
2024-02-19,0.6310629844665527,39.482234954833984,273.10345458984375,351.8070983886719,51779.14453125,0.08947700262069702,2943.57470703125,0.11199399828910828,2.5999999706982635e-05,4.113778114318848,19.820606231689453,71.31204223632812,9.999999747378752e-06,111.4853286743164,3.300000025774352e-05,0.1363680064678192,0.9998760223388672,1.0001020431518555,0.11848500370979309,0.5625969767570496
2024-02-20,0.6221650242805481,38.52740478515625,265.4651794433594,354.8639221191406,52284.875,0.08614300191402435,3013.503662109375,0.10745900124311447,2.499999936844688e-05,4.2731428146362305,19.295194625854492,69.65516662597656,9.999999747378752e-06,108.45964050292969,3.199999991920777e-05,0.13927499949932098,0.9999309778213501,1.0001699924468994,0.11768999695777893,0.5629220008850098
2024-02-21,0.5984579920768738,37.63543701171875,263.1250915527344,378.5373229980469,51839.1796875,0.08461499959230423,2970.35546875,0.10455799847841263,2.499999936844688e-05,4.110675811767578,18.58225440979004,68.93756103515625,9.999999747378752e-06,105.1252212524414,3.199999991920777e-05,0.1397320032119751,1.0000309944152832,1.0000139474868774,0.11434400081634521,0.5490040183067322
2024-02-22,0.5859019756317139,36.75072479248047,260.16876220703125,382.009765625,51304.97265625,0.0840890035033226,2971.00732421875,0.11610600352287292,2.700000004551839e-05,4.149618148803711,18.112953186035156,68.76451873779297,9.999999747378752e-06,101.66979217529297,3.199999991920777e-05,0.13892999291419983,1.000020980834961,0.9993600249290466,0.11525800079107285,0.540913999080658
2024-02-23,0.5832419991493225,35.92631912231445,264.54486083984375,375.319091796875,50731.94921875,0.08443400263786316,2921.658203125,0.10941000282764435,2.4000000848900527e-05,4.125218868255615,17.939098358154297,68.82816314697266,9.999999747378752e-06,99.95469665527344,3.600000127335079e-05,0.13818900287151337,1.0000189542770386,0.9998980164527893,0.11486099660396576,0.5345339775085449
2024-02-24,0.5966960191726685,36.73804473876953,267.6621398925781,381.7427978515625,51571.1015625,0.08615600317716599,2992.385986328125,0.11009500175714493,2.4000000848900527e-05,4.214317798614502,18.52635955810547,70.3870620727539,9.999999747378752e-06,104.1335220336914,9.999999747378752e-05,0.1374479979276657,1.0001239776611328,1.000059962272644,0.11644700169563293,0.545117974281311
2024-02-25,0.5913789868354797,37.44997024536133,267.8255920410156,388.5517272949219,51733.23828125,0.08609899878501892,3112.697265625,0.10923200100660324,2.300000051036477e-05,4.245250225067139,18.704635620117188,70.08211517333984,9.999999747378752e-06,103.4534912109375,0.00015799999528098851,0.13761800527572632,0.999875009059906,0.9999039769172668,0.1164420023560524,0.5424249768257141
2024-02-26,0.6197360157966614,39.33618927001953,274.89813232421875,401.6438903808594,54522.40234375,0.08938899636268616,3178.99365234375,0.11161799728870392,2.300000051036477e-05,4.3433661460876465,19.116256713867188,71.9378890991211,9.999999747378752e-06,109.91853332519531,9.7999996796716e-05,0.13991999626159668,0.9999499917030334,1.0007179975509644,0.11796700209379196,0.5514050126075745
2024-02-27,0.6242160201072693,39.268646240234375,292.5193786621094,394.9956359863281,57085.37109375,0.09767100214958191,3244.519287109375,0.10823699831962585,2.4000000848900527e-05,4.371693134307861,19.036426544189453,74.03375244140625,1.1000000085914508e-05,108.3880844116211,9.7999996796716e-05,0.1428849995136261,0.9999210238456726,1.0003540515899658,0.12297199666500092,0.5862579941749573
2024-02-28,0.6310589909553528,40.2947883605957,296.7937927246094,415.7716064453125,62504.7890625,0.1165819987654686,3385.703857421875,0.11351799964904785,2.4000000848900527e-05,4.248297214508057,19.431785583496094,74.59254455566406,1.2000000424450263e-05,118.05220031738281,9.7999996796716e-05,0.14223399758338928,0.9999520182609558,1.001060962677002,0.12108100205659866,0.5758110284805298
2024-02-29,0.655646026134491,40.935386657714844,298.5623779296875,399.7787170410156,61198.3828125,0.11718499660491943,3341.919677734375,0.11448899656534195,2.4000000848900527e-05,4.7577338218688965,19.287715911865234,79.9408950805664,1.2999999853491317e-05,125.71151733398438,9.999999747378752e-05,0.1405780017375946,0.999754011631012,1.0004019737243652,0.12193900346755981,0.5863249897956848
2024-03-01,0.7190809845924377,42.85532760620117,316.1250305175781,407.8107604980469,62440.6328125,0.13955700397491455,3435.053955078125,0.11677300184965134,2.4000000848900527e-05,4.746003150939941,20.0609073638916,85.08411407470703,1.700000029813964e-05,129.9904022216797,0.00012199999764561653,0.14159899950027466,0.9999420046806335,1.0006779432296753,0.12714900076389313,0.6018900275230408
2024-03-02,0.7409279942512512,44.33390808105469,500.8060607910156,410.9858703613281,62029.84765625,0.14212100207805634,3422.0498046875,0.11544600129127502,2.700000004551839e-05,4.769902229309082,21.421598434448242,94.41902923583984,2.300000051036477e-05,129.70018005371094,0.00011300000187475234,0.14128099381923676,0.9997950196266174,1.0006059408187866,0.1383489966392517,0.64485102891922
2024-03-03,0.7282379865646362,42.6048583984375,469.36279296875,414.3810729980469,63167.37109375,0.15383599698543549,3490.99365234375,0.11300300061702728,2.9999999242136255e-05,4.770880222320557,20.513017654418945,90.66835021972656,2.300000051036477e-05,130.45086669921875,0.00011300000187475234,0.14068900048732758,0.9998900294303894,1.0004509687423706,0.1356319934129715,0.6270719766616821
2024-03-04,0.7712939977645874,43.08823776245117,470.42315673828125,419.0354309082031,68330.4140625,0.1829099953174591,3630.433837890625,0.11735799908638,3.5000000934815034e-05,4.875618934631348,20.44875717163086,88.93545532226562,3.600000127335079e-05,133.194580078125,0.00010399999882793054,0.14041799306869507,0.99993497133255,1.001291036605835,0.1458750069141388,0.6501330137252808
2024-03-05,0.6934900283813477,39.50013732910156,401.4908447265625,394.6617431640625,63801.19921875,0.15393699705600739,3554.964599609375,0.1117430031299591,3.600000127335079e-05,5.353331089019775,19.010520935058594,82.04119873046875,3.600000127335079e-05,125.70671081542969,0.00010399999882793054,0.1360819935798645,0.9999979734420776,1.0013079643249512,0.13239899277687073,0.5929009914398193
2024-03-06,0.7338209748268127,41.51433563232422,415.1284484863281,429.011962890625,66106.8046875,0.15779100358486176,3819.226318359375,0.12581799924373627,3.5000000934815034e-05,5.4823431968688965,20.075965881347656,85.82997131347656,3.300000025774352e-05,130.7420196533203,0.0001250000059371814,0.13776299357414246,0.999800980091095,1.000445008277893,0.13816000521183014,0.6122530102729797
2024-03-07,0.7447419762611389,43.29000473022461,432.400634765625,475.2906494140625,66925.484375,0.1581210047006607,3874.34765625,0.1339469999074936,3.400000059627928e-05,5.477116107940674,20.127426147460938,88.10804748535156,3.199999991920777e-05,143.9778594970703,0.0003549999964889139,0.13732199370861053,0.9997079968452454,1.0014009475708008,0.14219099283218384,0.6286240220069885
2024-03-08,0.7248539924621582,42.74036407470703,437.76837158203125,488.09417724609375,68300.09375,0.16534699499607086,3892.06103515625,0.1307159960269928,3.600000127335079e-05,5.8034539222717285,19.741352081298828,88.63076782226562,3.5000000934815034e-05,145.2400360107422,0.00021600000036414713,0.13694800436496735,0.9998970031738281,1.0021899938583374,0.14196999371051788,0.6219549775123596
2024-03-09,0.7437130212783813,43.000335693359375,433.648193359375,489.56182861328125,68498.8828125,0.17908300459384918,3915.4189453125,0.1307629942893982,3.600000127335079e-05,5.627010822296143,20.028526306152344,90.8468017578125,3.5000000934815034e-05,144.6072540283203,0.00019500000053085387,0.13608300685882568,1.000038981437683,1.0021530389785767,0.14252899587154388,0.6218050122261047
2024-03-10,0.7172269821166992,42.052711486816406,423.9754333496094,529.374755859375,69019.7890625,0.16991999745368958,3881.193115234375,0.12593799829483032,6.299999949987978e-05,5.673876762390137,21.75461196899414,87.50755310058594,3.300000025774352e-05,144.5151824951172,0.00016399999731220305,0.13387900590896606,0.9999949932098389,1.0009939670562744,0.13984300196170807,0.6084319949150085
2024-03-11,0.7741900086402893,49.007232666015625,448.73834228515625,522.718017578125,72123.90625,0.18196499347686768,4066.445068359375,0.13268400728702545,0.00014000000373926014,5.844484806060791,21.289613723754883,103.7921142578125,3.400000059627928e-05,148.75096130371094,0.00016999999934341758,0.13375499844551086,0.9999570250511169,1.0002750158309937,0.1569889932870865,0.7180359959602356
2024-03-12,0.7480549812316895,55.59136962890625,434.3209533691406,537.86572265625,71481.2890625,0.16814400255680084,3980.273193359375,0.1331769973039627,0.00011200000153621659,5.8997979164123535,20.66677474975586,97.53800201416016,3.199999991920777e-05,151.01544189453125,9.600000339560211e-05,0.1314540058374405,0.9999539852142334,1.0000920295715332,0.1493930071592331,0.6882089972496033
